PRODUTO;ESTADO - SIGLA;NM_ESTADO;VL_MEDIO_VENDA
DIESEL;AC;ACRE;7.23
DIESEL;AL;ALAGOAS;6.45
DIESEL;AM;AMAZONAS;6.45
DIESEL;AP;AMAPÁ;6.3
DIESEL;BA;BAHIA;6.29
DIESEL;CE;CEARÁ;6.49
DIESEL;DF;DISTRITO FEDERAL;6.22
DIESEL;ES;ESPIRITO SANTO;5.98
DIESEL;GO;GOIÁS;6.15
DIESEL;MA;MARANHÃO;6.2
DIESEL;MG;MINAS GERAIS;6.13
DIESEL;MS;MATO GROSSO DO SUL;6.3
DIESEL;MT;MATO GROSSO;6.47
DIESEL;PA;PARÁ;6.65
DIESEL;PB;PARAÍBA;6.1
DIESEL;PE;PERNAMBUCO;6.27
DIESEL;PI;PIAUÍ;6.32
DIESEL;PR;PARANÁ;6.02
DIESEL;RJ;RIO DE JANEIRO;6.11
DIESEL;RO;RONDÔNIA;6.63
DIESEL;RR;RORAIMA;6.7
DIESEL;RS;RIO GRANDE DO SUL;6.05
DIESEL;SC;SANTA CATARINA;6.1
DIESEL;SE;SERGIPE;6.01
DIESEL;SP;SÃO PAULO;6.11
DIESEL;TO;TOCANTINS;6.04
DIESEL S10;AC;ACRE;7.28
DIESEL S10;AL;ALAGOAS;6.49
DIESEL S10;AM;AMAZONAS;6.61
DIESEL S10;AP;AMAPÁ;6.54
DIESEL S10;BA;BAHIA;6.44
DIESEL S10;CE;CEARÁ;6.52
DIESEL S10;DF;DISTRITO FEDERAL;6.39
DIESEL S10;ES;ESPIRITO SANTO;6.15
DIESEL S10;GO;GOIÁS;6.33
DIESEL S10;MA;MARANHÃO;6.32
DIESEL S10;MG;MINAS GERAIS;6.25
DIESEL S10;MS;MATO GROSSO DO SUL;6.4
DIESEL S10;MT;MATO GROSSO;6.69
DIESEL S10;PA;PARÁ;6.62
DIESEL S10;PB;PARAÍBA;6.29
DIESEL S10;PE;PERNAMBUCO;6.06
DIESEL S10;PI;PIAUÍ;6.49
DIESEL S10;PR;PARANÁ;6.21
DIESEL S10;RJ;RIO DE JANEIRO;6.32
DIESEL S10;RO;RONDÔNIA;6.68
DIESEL S10;RR;RORAIMA;6.76
DIESEL S10;RS;RIO GRANDE DO SUL;6.16
DIESEL S10;SC;SANTA CATARINA;6.25
DIESEL S10;SE;SERGIPE;6.26
DIESEL S10;SP;SÃO PAULO;6.27
DIESEL S10;TO;TOCANTINS;6.15
ETANOL;AC;ACRE;5.41
ETANOL;AL;ALAGOAS;4.8
ETANOL;AM;AMAZONAS;4.69
ETANOL;AP;AMAPÁ;5.65
ETANOL;BA;BAHIA;4.88
ETANOL;CE;CEARÁ;5.15
ETANOL;DF;DISTRITO FEDERAL;4.43
ETANOL;ES;ESPIRITO SANTO;4.87
ETANOL;GO;GOIÁS;4.14
ETANOL;MA;MARANHÃO;5.01
ETANOL;MG;MINAS GERAIS;4.2
ETANOL;MS;MATO GROSSO DO SUL;4.39
ETANOL;MT;MATO GROSSO;4.0
ETANOL;PA;PARÁ;5.24
ETANOL;PB;PARAÍBA;4.47
ETANOL;PE;PERNAMBUCO;4.71
ETANOL;PI;PIAUÍ;4.75
ETANOL;PR;PARANÁ;4.39
ETANOL;RJ;RIO DE JANEIRO;4.87
ETANOL;RO;RONDÔNIA;5.41
ETANOL;RR;RORAIMA;5.29
ETANOL;RS;RIO GRANDE DO SUL;5.28
ETANOL;SC;SANTA CATARINA;5.08
ETANOL;SE;SERGIPE;4.8
ETANOL;SP;SÃO PAULO;3.99
ETANOL;TO;TOCANTINS;4.85
GASOLINA;AC;ACRE;6.72
GASOLINA;AL;ALAGOAS;6.07
GASOLINA;AM;AMAZONAS;6.43
GASOLINA;AP;AMAPÁ;5.46
GASOLINA;BA;BAHIA;6.31
GASOLINA;CE;CEARÁ;6.21
GASOLINA;DF;DISTRITO FEDERAL;5.84
GASOLINA;ES;ESPIRITO SANTO;6.02
GASOLINA;GO;GOIÁS;5.96
GASOLINA;MA;MARANHÃO;5.88
GASOLINA;MG;MINAS GERAIS;5.92
GASOLINA;MS;MATO GROSSO DO SUL;5.89
GASOLINA;MT;MATO GROSSO;5.98
GASOLINA;PA;PARÁ;6.11
GASOLINA;PB;PARAÍBA;5.78
GASOLINA;PE;PERNAMBUCO;5.92
GASOLINA;PI;PIAUÍ;6.15
GASOLINA;PR;PARANÁ;5.93
GASOLINA;RJ;RIO DE JANEIRO;6.07
GASOLINA;RO;RONDÔNIA;6.23
GASOLINA;RR;RORAIMA;5.99
GASOLINA;RS;RIO GRANDE DO SUL;5.79
GASOLINA;SC;SANTA CATARINA;5.91
GASOLINA;SE;SERGIPE;5.95
GASOLINA;SP;SÃO PAULO;5.72
GASOLINA;TO;TOCANTINS;6.07
GASOLINA ADITIVADA;AC;ACRE;6.69
GASOLINA ADITIVADA;AL;ALAGOAS;6.19
GASOLINA ADITIVADA;AM;AMAZONAS;6.36
GASOLINA ADITIVADA;AP;AMAPÁ;5.64
GASOLINA ADITIVADA;BA;BAHIA;6.44
GASOLINA ADITIVADA;CE;CEARÁ;6.37
GASOLINA ADITIVADA;DF;DISTRITO FEDERAL;5.92
GASOLINA ADITIVADA;ES;ESPIRITO SANTO;6.16
GASOLINA ADITIVADA;GO;GOIÁS;6.09
GASOLINA ADITIVADA;MA;MARANHÃO;6.01
GASOLINA ADITIVADA;MG;MINAS GERAIS;6.1
GASOLINA ADITIVADA;MS;MATO GROSSO DO SUL;6.04
GASOLINA ADITIVADA;MT;MATO GROSSO;6.1
GASOLINA ADITIVADA;PA;PARÁ;6.35
GASOLINA ADITIVADA;PB;PARAÍBA;5.91
GASOLINA ADITIVADA;PE;PERNAMBUCO;6.08
GASOLINA ADITIVADA;PI;PIAUÍ;6.34
GASOLINA ADITIVADA;PR;PARANÁ;6.08
GASOLINA ADITIVADA;RJ;RIO DE JANEIRO;6.21
GASOLINA ADITIVADA;RO;RONDÔNIA;6.36
GASOLINA ADITIVADA;RR;RORAIMA;6.08
GASOLINA ADITIVADA;RS;RIO GRANDE DO SUL;5.94
GASOLINA ADITIVADA;SC;SANTA CATARINA;6.02
GASOLINA ADITIVADA;SE;SERGIPE;6.06
GASOLINA ADITIVADA;SP;SÃO PAULO;5.93
GASOLINA ADITIVADA;TO;TOCANTINS;6.13
GNV;AL;ALAGOAS;4.67
GNV;AM;AMAZONAS;4.26
GNV;BA;BAHIA;4.29
GNV;CE;CEARÁ;4.95
GNV;DF;DISTRITO FEDERAL;6.63
GNV;ES;ESPIRITO SANTO;4.97
GNV;MA;MARANHÃO;5.23
GNV;MG;MINAS GERAIS;4.88
GNV;MS;MATO GROSSO DO SUL;4.79
GNV;MT;MATO GROSSO;3.37
GNV;PA;PARÁ;5.5
GNV;PB;PARAÍBA;4.77
GNV;PE;PERNAMBUCO;3.86
GNV;PR;PARANÁ;5.51
GNV;RJ;RIO DE JANEIRO;4.82
GNV;RR;RORAIMA;4.99
GNV;RS;RIO GRANDE DO SUL;5.45
GNV;SC;SANTA CATARINA;5.39
GNV;SE;SERGIPE;4.95
GNV;SP;SÃO PAULO;4.84
